Gene_ID	L15	S15	R15	L20	S20	R20	L25	S25	R25	L30	S30	R30	Bd	Flwr	YSe	MSe
g1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3
g2	163	375	469	301	391	238	89	415	286	80	87	253	843	126	360	668
g3	16	48	65	40	60	46	18	54	42	15	24	77	82	23	55	85
g4	74	249	310	133	277	231	54	265	222	123	247	489	354	114	195	368
g5	191	1448	2185	376	1640	1591	115	1541	1451	165	1235	2592	5346	926	1615	2883
g6	2846	8598	7905	6113	9766	6024	2715	9572	6573	2509	3505	7609	4896	1241	4109	6403
g7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
g8	2	2	3	2	1	0	0	4	0	0	0	3	4	0	0	2
g9	161	132	174	330	40	6	139	62	1	146	45	12	66	0	150	989
g10	2761	6377	6692	7214	8108	4599	3422	7610	5190	3801	3800	6832	3685	4410	4314	5558
g11	221	698	772	335	693	415	159	705	477	175	315	755	636	209	519	763
g12	374	953	1276	743	1185	831	382	992	809	501	816	1428	2092	2101	1022	2178
g13	142	269	337	220	250	134	114	298	205	29	20	60	800	428	288	593
g14	801	4335	4749	1776	6708	3445	787	7404	3779	1069	4467	7655	6548	2189	3660	6238
g15	257	644	732	553	659	501	184	679	569	248	329	794	495	59	363	608
g16	156	370	391	275	342	288	136	404	329	87	107	277	336	34	204	380
g17	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0
g18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
g19	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1
g20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g21	0	0	0	0	2	0	0	0	2	0	0	3	0	1	0	2
g22	37	69	76	41	65	50	19	75	33	5	0	13	238	16	75	120
g23	497	1039	1214	1497	1671	628	553	1559	857	532	627	1223	1606	321	1083	1670
g24	0	2	2	0	2	2	0	0	1	0	2	6	2	0	0	4
g25	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
g26	3252	1188	413	8806	2010	212	3327	1672	158	2826	545	214	1082	44	607	1109
g27	615	2646	2656	796	2042	2221	274	2204	1951	219	588	1976	2088	1482	1007	2027
g28	388	2375	1986	889	4367	1292	442	2643	1045	556	2552	2428	2588	662	3400	3459
g29	12	5	10	15	7	0	10	11	8	0	1	0	36	6	22	26
g30	11	16	24	35	24	8	10	10	6	0	4	2	43	4	15	25
g31	85	123	146	188	165	84	100	197	105	27	14	57	412	118	206	375
g32	41	134	157	168	177	69	108	138	98	40	33	81	306	90	146	317
g33	113	203	257	260	303	164	149	267	154	150	159	329	441	156	254	501
g34	38	83	126	123	149	92	60	107	82	104	117	238	169	124	125	166
g35	93	362	653	155	467	553	90	419	481	74	223	598	558	276	369	579
g36	640	2249	2419	1337	2571	1778	651	2406	1895	659	1184	2927	2720	984	1519	2773
g37	811	2002	2605	1622	2454	2028	561	2329	1986	639	1257	3124	2027	468	1081	2388
g38	504	578	537	1107	753	293	432	601	372	367	312	483	617	217	505	909
g39	0	0	3	4	4	0	0	0	16	4	3	3	6	12	0	4
g40	2	4	4	3	6	0	1	3	12	2	2	4	7	8	6	31
g41	3732	17422	18866	4331	19864	13030	1034	18875	13332	1416	8366	17354	15614	468	10988	14699
g42	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
g43	1073	611	540	3800	988	316	1519	829	355	1356	410	557	1322	93	651	1249
g44	2340	8153	8603	4197	8056	7076	1387	7319	7228	1476	3478	8283	3597	1475	3590	4766
g45	1447	740	527	3424	1007	332	1082	829	328	1141	428	560	701	126	623	920
g46	298	614	610	650	714	391	241	622	377	214	254	533	1212	203	541	856
g47	1041	2554	2941	2298	3012	2056	984	2750	2301	1192	1515	2535	1537	605	1945	2031
g48	268	671	979	495	819	698	183	814	702	258	392	913	755	421	493	1019
g49	262	774	654	811	875	224	349	810	225	423	398	360	1052	21	853	1964
g50	20	183	231	21	189	113	7	135	167	27	34	164	169	106	113	144
g51	23	288	422	31	336	273	9	235	303	15	138	378	253	138	144	194
g52	244	8231	8936	265	9449	4926	141	12047	8520	366	8447	9102	6746	2902	19293	10015
g53	173	547	678	349	593	444	103	543	424	117	518	934	934	46	633	1034
g54	267	7809	4706	466	4942	4099	111	4123	3852	220	2842	6132	1633	10	1450	1999
g55	86	388	581	174	515	283	59	521	349	47	250	593	442	143	490	1616
g56	267	321	364	467	461	145	303	393	161	477	289	292	696	186	389	1072
g57	2636	11360	12583	4331	10700	9716	1286	9568	9346	1746	5526	14109	4936	2316	4119	6075
g58	764	1448	1671	1962	1927	1059	1004	1818	1172	1014	910	1777	1247	509	1233	1810
g59	3031	1499	1736	10155	1316	306	4939	1077	279	3487	637	433	3036	1266	4761	6203
g60	420	584	773	897	778	368	497	669	607	387	242	557	1071	548	837	1276
g61	70	199	219	140	242	222	38	181	187	63	112	297	207	266	140	251
g62	13	69	83	42	85	62	16	75	61	17	17	34	70	43	50	82
g63	119	361	344	120	413	242	53	383	260	51	113	312	521	257	230	420
g64	372	557	424	470	541	317	137	415	277	151	223	463	646	217	438	732
g65	216	748	845	393	875	535	157	952	575	263	501	939	644	391	646	982
g66	828	1406	1847	1770	1869	968	1146	1984	1208	1136	959	1806	1357	545	1481	2835
g67	39	308	629	104	314	220	39	350	248	66	152	341	477	229	705	2333
g68	884	2512	2820	1419	2814	2120	566	2500	2118	614	1541	3558	3997	2065	2345	4340
g69	4499	1439	1146	10534	2147	379	6835	2538	579	5743	1276	981	1933	216	1511	3118
g70	34	344	339	70	441	219	49	331	209	69	376	568	238	9	241	389
g71	11	135	86	37	164	40	17	118	77	9	25	54	193	7	106	159
